start values, python addition, python multiplication
5.61270233486e+29,1.12254046697e+30,3.15024274997e+59,0111000111000101
9.25378172559e+29,1.85075634512e+30,8.56324762248e+59,0111001001110101
1.52569067654e+30,3.05138135308e+30,2.32773204048e+60,0111001100110100
2.51543867092e+30,5.03087734184e+30,6.32743170716e+60,0111001111111011
4.14725724189e+30,8.29451448377e+30,1.71997426304e+61,0111010010100010
6.83767122976e+30,1.36753424595e+31,4.67537478463e+61,0111010101011001
1.12734139986e+31,2.25468279971e+31,1.27089863183e+62,0111011000011100
1.85867174528e+31,3.71734349057e+31,3.45466065672e+62,0111011011010101
3.0644316417e+31,6.1288632834e+31,9.39074128665e+62,0111011110000010
5.05239363028e+31,1.01047872606e+32,2.55266813953e+63,0111100000111110
8.32998884619e+31,1.66599776924e+32,6.93887141776e+63,0111100100000110
1.37338297954e+32,2.74676595908e+32,1.88618080849e+64,0111100110110001
2.26432573119e+32,4.52865146237e+32,5.12717101691e+64,0111101001100101
3.7332419968e+32,7.4664839936e+32,1.39370958067e+65,0111101100100110
6.15507548879e+32,1.23101509776e+33,3.78849542727e+65,0111101111100101
1.01480038811e+33,2.02960077623e+33,1.02981982772e+66,0111110010010000
1.6731229854e+33,3.3462459708e+33,2.79934052427e+66,0111110101001001
2.75851345452e+33,5.51702690905e+33,7.60939647879e+66,0111111000010000
4.54801980798e+33,9.09603961597e+33,2.06844841738e+67,0111111011000000
7.49841699699e+33,1.4996833994e+34,5.62262574608e+67,0111111101110001
1.23627995995e+34,2.4725599199e+34,1.52838813938e+68,0100000000011000
2.03828106651e+34,4.07656213303e+34,4.1545897061e+68,0100000001111011
3.36055735002e+34,6.72111470005e+34,1.12933457028e+69,0100000011001111
5.54062238439e+34,1.10812447688e+35,3.06984964064e+69,0100000100101010
9.13494197807e+34,1.82698839561e+35,8.34471649426e+69,0100000110001100
1.50609731459e+35,3.01219462917e+35,2.268329121e+70,0100000111101000
2.4831346783e+35,4.9662693566e+35,6.16595783058e+70,0100001000111111
4.09399696213e+35,8.18799392425e+35,1.67608111259e+71,0100001010011101
6.74985987364e+35,1.34997197473e+36,4.55606083138e+71,0100001100000001
1.11286375479e+36,2.22572750958e+36,1.23846573673e+72,0100001101010110
1.83480214392e+36,3.66960428783e+36,3.36649890732e+72,0100001110110000
3.0250773222e+36,6.0501546444e+36,9.1510928053e+72,0100010000010001
4.98750932663e+36,9.97501865325e+36,2.48752492832e+73,0100010001110000
8.22301271462e+36,1.64460254292e+37,6.76179381049e+73,0100010011000101
1.35574559718e+37,2.71149119437e+37,1.83804612428e+74,0100010100100011
2.23524660373e+37,4.47049320747e+37,4.99632737951e+74,0100010110000110
3.68529862084e+37,7.37059724168e+37,1.35814259247e+75,0100010111011101
6.07603022506e+37,1.21520604501e+38,3.69181432958e+75,0100011000110110
